GEOID,medianAge,population,noEducation,highschoolEducation,gedEducation,associatesEducation,bachelorsEducation,masterEducation,professionalEducation,doctorateEducation,medianHHIncome,rentAsPercIncome
290950141081,29.6,3274,2,482,29,74,304,113,14,0,43494,30.1
290950141082,43.7,1683,0,422,79,184,127,66,0,0,51250,22.6
290950141083,41.7,1304,0,427,26,67,47,44,0,0,45069,39
290950141111,36.7,3072,7,566,92,130,376,236,47,7,78077,23.6
290950141121,44,761,0,257,3,39,78,39,12,6,80208,19.5
290950141141,37.3,2408,0,335,0,133,356,234,47,13,99696,
290950141142,41.5,1851,0,127,45,102,261,75,61,0,75357,23.3
290950141143,37.2,1520,0,166,81,90,207,113,57,0,36176,29.3
290950141144,35.3,1761,0,231,31,56,244,39,49,13,73227,16.6
290950141201,38.9,3138,23,545,51,162,436,107,10,24,81875,20.7
290950023002,39.5,1038,24,190,12,21,45,38,0,6,26894,50
290950142031,34.8,2506,0,101,12,164,593,300,72,30,91289,27.5
290950142032,47.4,1504,19,119,0,75,409,120,142,15,99559,
290950142041,44.4,2587,0,186,0,159,443,301,45,14,111333,
290950142042,58.3,2186,0,289,11,88,440,407,126,27,89291,
290950142043,29.8,3311,0,551,66,203,324,214,43,12,56821,25.4
290950143001,41.6,2522,0,465,67,111,321,100,18,21,92629,50
290950143002,40.3,2219,29,410,55,79,148,122,33,0,44483,26.5
290950143003,41.8,1042,25,213,0,65,59,32,12,0,69100,13.2
290950144001,38.8,1543,0,346,53,43,134,84,7,6,56108,20.9
290950144002,44.5,995,28,147,0,44,133,126,48,23,98542,26
290950034001,37.7,764,38,189,52,14,25,0,0,0,17750,50
290950145011,57.5,1757,0,341,31,107,283,154,26,18,56222,24.1
290950145012,39.5,2354,20,499,33,184,287,78,16,7,50978,22.8
290950145021,48.3,2264,15,469,61,156,259,129,54,25,54974,19.3
290950145022,49.7,2177,0,454,80,70,259,215,56,12,52653,26.1
290950146011,45.7,2289,26,570,123,97,225,74,0,0,56724,18.9
290950146012,38,1153,0,184,35,20,132,34,0,17,54201,
290950146013,58.8,673,0,234,7,31,122,56,0,16,51029,
290950146014,52.2,834,0,198,64,33,72,28,0,0,70651,
290950146031,44.1,1359,18,326,149,48,90,10,0,0,42134,42.9
290950146032,45.4,2204,15,472,40,123,166,126,15,9,65479,27.1
290950034002,30.5,444,12,81,9,0,10,9,0,0,26667,50
290950146041,38.4,1112,0,250,47,14,118,24,0,0,36304,25.8
290950146042,42.5,2672,10,605,61,239,212,24,0,0,30335,36.9
290950146043,43.9,778,26,190,26,78,46,57,14,0,41548,28.3
290950147011,33,3598,11,664,54,165,435,185,43,22,51702,25
290950147021,41.4,1301,0,240,8,128,216,35,17,0,62930,19.7
290950147022,55.6,1900,0,434,5,111,308,236,34,13,59850,19.8
290950147023,41.7,1973,27,297,68,166,305,102,13,7,84188,27.2
290950148041,42.6,2769,9,361,22,91,528,249,37,19,103158,26.3
290950148061,37.1,1747,1,180,53,131,235,147,23,16,67098,26.9
290950148062,47.1,1459,8,214,0,55,357,100,31,49,89375,18.3
290950034003,37.5,603,0,133,0,16,0,0,0,0,17004,50
290950148063,39.3,1016,16,61,0,54,211,82,32,0,83707,17.3
290950149021,37.5,1249,0,330,22,78,84,61,5,0,55107,28.1
290950149022,40.5,657,0,207,52,13,23,0,0,0,30243,44
290950149031,50.1,674,0,192,30,62,66,23,22,0,84712,
290950149032,39.4,4132,0,844,71,168,495,292,9,0,88304,
290950149041,35.4,1907,0,568,46,53,268,131,0,0,48676,33.5
290950149042,50.3,1336,0,234,41,57,201,181,23,0,60179,32.8
290950149043,34.2,2881,0,465,58,107,412,214,77,0,83547,31.5
290950149051,45.1,3790,0,595,67,117,748,373,67,51,107132,
290950149052,31.3,927,0,199,24,58,31,39,0,0,72768,13.1
290950034004,35.3,490,0,86,56,54,0,0,0,0,10996,50
290950150001,47.1,1882,0,534,45,119,192,67,12,20,75179,14.2
290950150002,40.9,684,2,159,26,44,57,17,0,8,69375,45
290950150003,37.7,1219,26,345,17,20,50,7,9,0,50972,31.8
290950151001,47.5,1676,3,435,103,90,109,63,0,0,47208,36.8
290950151002,31.3,2005,27,534,125,49,101,8,15,10,58750,24.3
290950151003,27.6,2458,0,518,89,91,132,23,0,8,92603,28.1
290950152001,30.1,1907,0,177,46,37,491,171,120,8,42500,29.1
290950153001,42.4,1050,35,167,111,38,104,13,10,0,16713,50
290950153002,30.3,1234,23,132,3,25,23,33,0,0,37600,50
290950153003,37.5,976,5,94,53,64,157,95,54,9,46726,34.5
290950037001,35.9,1048,3,266,56,13,25,12,0,0,19239,50
290950154001,25.4,1063,0,132,30,49,12,0,0,0,11900,50
290950154002,17.6,1447,72,197,27,27,0,0,0,0,9152,44.6
290950154003,27.3,986,11,132,40,48,117,30,0,14,16949,50
290950155001,32.1,785,6,168,37,20,37,0,0,0,21607,50
290950155002,43.2,425,1,60,25,20,56,0,37,0,50391,26
290950156001,43.2,558,4,115,43,27,6,3,0,0,23224,30.3
290950156002,35.5,1354,36,254,57,30,38,0,0,0,20750,43.6
290950157001,30,842,9,47,8,50,284,112,30,0,47904,26.3
290950157002,28.4,1262,10,82,10,113,423,181,158,8,54936,25.7
